hostname,tld,port,path,queue,segment
w612.nb.host127-0-0-1,com,,bins/int/kr3_znp.int,fxp=384bd820008ee37f030b3e65bca6e8a1a65beab33574f567a23b0a987ca83e6544e3e645,
q28840.nb.host127-0-0-1,com,,bins/int/tp_map16.int,fxp=5936289861f351e362768cf97e7b45e0648647f26c6d6750fb2298af91238cf9c815a461,
w4988.nb.host127-0-0-1,com,,bins/int/np_pkz.int,affid=np_0104&fxp=85c26940bd074d9ebe8290842bca496331374b71c3b8806954f77f9,
z32538.nb.host127-0-0-1,com,,bins/int/np_pkz.int,affid=np_0104&fxp=2ac11c971204a16811817c725e04d68a44f9d4987c472f66eb08d0,
afa15.com.ne,kr,,media/videoxxx.avi.exe,,
rsiuk.co,uk,,cinch/index.html,,
fgawegwr.chez,com,,images/1273471091.exe,,
montezuma.spb,ru,,key/72548.htm,,
freeserials,ws,,sn/64850.html,,
allxscan,tk,,ddt/load.php,f=1&e=4,
pornstarss,tk,,ntk/index.php,id=105828,
helesouurusa.cjb,com,,land/video.php,l=4:52&id=1&n=my_loli2&a=mike&path=./tmb/my_loli2/31.jpg&rat=./img/rating5.jpg&v=61545,
helesouurusa.cjb,com,,land/,n=my_loli2&id=1,
luwyou,com,,photos.php,,
update.onescan.co,kr,,setupa/onescansetup.exe,,
sudcom,org,,tmp/source/index.php,,
sudcom,org,,tmp/source/pdf.php,,
scdsfdfgdr12,tk,,go/,afid=51,
scaner-do,tk,,go/,afid=51,
scaner-file,tk,,go/,afid=51,
scaner-figy,tk,,go/,afid=51,
ns2ns1,tk,,test/index.php,,
ns2ns1,tk,,test/load.php,f=1&e=2,
scaner-or,tk,,go/,afid=51,
exsexytop,tk,,www/index.php,,
exsexytop,tk,,www/load.php,f=1&e=2,
scaner-sboom,tk,,go/,afid=96,
scaner-sbite,tk,,go/,afid=,
scaner-tfeed,tk,,go/,afid=96,
linkforme,tk,,www1/load.php,f=1&e=2,
linkforme,tk,,www1/index.php,,
scaner-tgame,tk,,go/,afid=51,
scaner-sdee,tk,,go/,afid=51,
web-fill,tk,,go/,afid=51,
internet-bb,tk,,go/,afid=51,
textsex,tk,,str/index.php,,
textsex,tk,,str/load.php,f=1&e=4,
live-dir,tk,,go/,afid=51,
mbrdot,tk,,123/index.php,,
mbrdot,tk,,123/load.php,f=1&e=6,
zyxyfy,com,,images/ner.html,,
sexyster,tk,,lo/index.php,,
sexyster,tk,,lo/load.php,f=1&e=6,
fkhfgfg,tk,,123/load.php,file=0,
fkhfgfg,tk,,123/load.php,file=1,
fkhfgfg,tk,,123/load.php,file=ftpgrabber,
fkhfgfg,tk,,123/load.php,file=pokergrabber,
web-domain,tk,,go/,afid=51,
unlim-app,tk,,go/,afid=51,
new-address,tk,,go/,afid=80,
gameangel,com,,system/html/js/html.js,,
vvps,ws,,44/mothersdarlingcross.php,,
beldiplomcom.75.com1,ru,,true.php,,
beldiplomcom.75.com1,ru,,loading.php,spl=mdac,
url-cameralist,tk,,go/,afid=136,
site-checksite,tk,,go/,afid=144,
downloaddirect,com,,software/vlc-player/2567,,
kcta.or,kr,,js/json.js,,
spris,com,,images/log.txt,,
new-softdriver,tk,,go/,afid=90,
orkut.krovatka,su,,imagem-542454.jpg,,
faq-candrive,tk,,go/,afid=51,
job-compuse,tk,,go/,afid=90,
hosting-controlnext,tk,,go/,afid=51,
hosting-controlid1,tk,,go/,afid=156,
hosting-controlid1,tk,,go/,afid=90,
hosting-controlpin,tk,,go/,afid=51,
hosting-controlpr,tk,,go/,afid=51,
image-circul,tk,,go/,afid=51,
job-companybuild,tk,,go/,afid=51,
lab-cntest,tk,,go/,afid=90,
bookofkisl,com,,album.php,,
infoweb-coolinfo,tk,,90/,afid=90,
alissonluis-musico.sites.uol,com.br,,mar.jpg,,
skiholidays4beginners,com,,subtraction-scorpio-male-and-virgo-female-compatiblity/,,
patrickhickey,eu,,concertina-free-short-skits-scripts-in-hindi-for-independence-day/,,
rolemodelstreetteam.invasioncrew,com,,raazuc/dossier-for-m,,
hy-brasil.mhwang,com,,,,
marx-brothers.mhwang,com,,,,
networkmedical,com.hk,,defeating-innova-champion-discs-inc-raven/,,
wallpapers91,com,,,,
rat-on-subway.mhwang,com,,,,
dowdenphotography,com,,ps/wy-template-printable-brain-cap-teaching-anatomy.htm,,
seet10.jino,ru,,,,
vkont.bos,ru,,,,
download207.mediafire,com,,2ezaemp68lyg/fe8lc6kqa1f06n1/grand+theft+modification.zip,,
dl.downf468,com,,n/3.0.25/3299664/manual-básico-de-windows-movie-maker.exe,,
widestep,com,,files/ws_qk_install.exe,,
casamama,nl,,,,
seoholding,com,,13/overblog,,
seonetwizard,com,,in.cgi,3,
seoholding,com,,13/overblog&usg=afqjcngs7xe0yilvq6lgj3oroonf7-gfhg,,
makohela,tk,,kingofthelamers.jar,,
crackzone,net,,data/super_mp3_download_version_3.3.4.6_serial_keys_gen-bee3afe71a.html,,
seoholding,com,,13/boardhost,,
infra,by,,conflq.php,,
elocumjobs,com,,_sql/1/index.php,spl=mdac,
nobodyspeakstruth.narod,ru,,upload/main.exe,,
remorcicomerciale,ro,,hyb7w2u/index.html,,
negociosdasha,com,,uqa5q2p/index.html,,
eldiariodeguadalajara,com,,153c5f/index.html,,
paracadutismolucca,it,,fe7041/index.html,,
aintdoinshit,com,,,,
cswilliamsburg,com,,site7/data/,,
bj04,com,,myimg/,img1507.jpg,
pamoran,net,,forum/got.php,sid=1,
pamoran,net,,forum/go.php,sid=1,
police11.provenprotection,net,,,1284cf325cf33aa48aeb29aee89b3473,
qbike,com.br,,lidn.html,,
serraikizimi,gr,,akayd6dn/index.html,,
0zz0,com,,2012/05/05/18/394995639.gif,,
2.0zz0,com,,2012/05/06/00/464591666.gif,,
metrocuadro,com.ve,,coolest/2013googledocs/,,
petpleasers,ca,,templates/rhuk_milkyway/images/red/sll.exe,,
dimenal,com.br,,cuedn4w2/index.html,s=883&lid=2267&elq=11f7b1b5179f45b09737bdf10d0fe61f,
dimenal,com.br,,hhv0oxbp/index.html,s=883&lid=2298&elq=11f7b1b5179f45b09737bdf10d0fe61f,
miespaciopilates,com,,7fy2fzng/index.html,,
puenteaereo,info,,fha5c5iw/index.html,s=883&lid=2231&elq=11f7b1b5179f45b09737bdf10d0fe61f,
puenteaereo,info,,fha5c5iw/index.html,s=883&lid=2270&elq=11f7b1b5179f45b09737bdf10d0fe61f,
puenteaereo,info,,ke3pt5ye/index.html,s=883&lid=2328&elq=11f7b1b5179f45b09737bdf10d0fe61f,
serciudadano,com.ar,,wp-content/uploads/report.htm,,
zjjlf.croukwexdbyerr,net,,zyso.cgi,16,
panazan,ro,,online/libraries/pattemplate/pattemplate/modifier/html/im/o/z/3pingo/cfg.bin,,
panazan,ro,,online/libraries/pattemplate/pattemplate/modifier/html/im/o/z/3pingo/gate.php,,
two-of-us,at,,images/w.exe,,
poffet,net,,mail.htm,,
ns1.updatesdns,org,,static.htmls,,
topdecornegocios,com.br,,eiqydbxs/index.html,,
win2150.vs.easily.co,uk,,f49oj2tb/index.html,,
stailapoza,ro,,9kxmzbou/index.html,,
two-of-us,at,,images/vein.exe,,
qualityindustrialcoatings,com,,wm19l5st/index.html,,
avrakougioumtzi,gr,,r3qd8wqb/index.html,,
two-of-us,at,,images/s4x.exe,,
two-of-us,at,,images/s2x.exe,,
wetjane.x10,mx,,,,
storgas.co,rs,,ahinfo.html,,
two-of-us,at,,images/s2.exe,,
two-of-us,at,,images/m.exe,,
two-of-us,at,,images/digitalcoinminer.exe,,
two-of-us,at,,images/dgc4x.exe,,
two-of-us,at,,images/dc.exe,,
elew72isst.rr,nu,,mm.php,d=x1,
two-of-us,at,,images/bz.exe,,
two-of-us,at,,images/br.exe,,
two-of-us,at,,images/aurcoinlab.exe,,
markbruinink,nl,,wp-admin/cnt.php,,
perupuntocom,com,,claroideas.exe,,
asu.msmu,ru,,templates/atomic/check.php,,
parfumer,by,,templates/atomic/check.php,,
two-of-us,at,,images/au4x.exe,,
vdh-rimbach,de,,oben/oben.htm,,
xamateurpornlic.www1,biz,,latest/xxx-porn-movie.avi.exe,,
two-of-us,at,,images/1.exe,,
two-of-us,at,,images/pictures.php,,
tracking-stats-tr.usa,cc,,links/convinces_lain_arranges.php,,
publiccasinoil,com,,links/orders-addressing_peace_driver.php,,
stjohnsdryden,org,,img/common/download.php,,
3.bluepointmortgage,com,,links/landing-philosophy_dry-suspende.php,,
3.coolerpillow,com,,links/landing-philosophy_dry-suspende.php,,
4.androidislamic,com,,links/created_danger.php,,
4.collecorvino,org,,links/landing-philosophy_dry-suspende.php,,
4.dlevo,com,,links/landing-philosophy_dry-suspende.php,,
milleniumpapelaria,com.br,,tag/class/editor.php,edit=gz,
xpornstarsckc.ddns,name,,latest/xxx-porn-movie.avi.exe,,
natural.buckeyeenergyforum,com,,r/l/the-joint.php,,
narrow.azenergyforum,com,,r/l/brown_season.php,,
upswings,net,,track.php,c005,
lyzgs,com,,track.php,c005,
weboxmedia,by,,track.php,c005,
4.dlevo,com,,links/created_danger.php,,
4.e-why,net,,links/becoming-either.php,,
ukrfarms,com.ua,,images/tovar.jpg.php,,
babos.scrapping,cc,,v211112n/i.php,token=forum,
2607,cn,,1/t1.php,,
5.eventiduepuntozero,com,,links/becoming-either.php,,
5.estasiatica,com,,links/becoming-either.php,,
mlpoint,pt,,scripts/d.html,,
4.newenergydata,biz,,links/apply-grants_catch.php,,
gravityexp,com,,go.php,sid=12,
4.newenergydata,info,,links/apply-grants_catch.php,,
4.periziavela,com,,links/dedicates_user.php,,
4.pianetapollo,com,,links/dedicates_user.php,,
winlock.usa,cc,,k8uiaii89819aj/get.php,f=7,
dev.wrathofshadows,net,,255163377.htm,,
img.coldstoragemn,com,,links/demands-lower.php,,
img.sspbaseball,org,,links/demands-lower.php,,
nikolamireasa,com,,less/demands-probably.php,,
analxxxclipsyjh.dnset,com,,latest/amateur_dog_sex_01.avi.exe,,
private.hotelcesenaticobooking,info,,r/l/updating-bugs_keeping.php,,
6.bbnface,com,,string/obscure-logs-useful.php,,
6.mamaswishes,com,,string/obscure-logs-useful.php,,
6.bbnfaces,net,,string/obscure-logs-useful.php,,
4.whereintoscana,com,,string/obscure-logs-useful.php,,
4.whereintrentinoaltoadige,com,,string/obscure-logs-useful.php,,
4.whereinpuglia,com,,string/obscure-logs-useful.php,,
4.whereinsicilia,com,,string/obscure-logs-useful.php,,
4.whereinliguria,com,,string/obscure-logs-useful.php,,
4.whereinsardegna,com,,string/obscure-logs-useful.php,,
4.whereinmolise,com,,string/obscure-logs-useful.php,,
4.whereinpiemonte,com,,string/obscure-logs-useful.php,,
4.whereinmilan,com,,string/obscure-logs-useful.php,,
4.whereinlazio,com,,string/obscure-logs-useful.php,,
4.whereinlombardy,com,,string/obscure-logs-useful.php,,
4.whereinitaly,com,,string/obscure-logs-useful.php,,
4.whereinsicily,com,,string/obscure-logs-useful.php,,
6.bbnsmsgateway,com,,string/obscure-logs-useful.php,,
port,bg,,wfgv.html,php=receipt,
webordermanager,com,,,,
videoflyover,com,,,,
quinnwealth,com,,main.php,page=5e0cdb0ca7f86ed0,
0uk,net,,zaaqw/pony.exe,,
cwmgaming,com,,,,
11.lamarianella,info,,read/defined_regulations-frequently.php,,
0uk,net,,zaaqw/cs.exe,,
penwithian.co,uk,,hyperventilate/sporran.js,,
ukonline.hc0,me,,new.exe,,
50efa6486f1ef.skydivesolutions,be,,news/refusal/natural.cgi,,
ukonline.hc0,me,,host.exe,,
somethingnice.hc0,me,,miner/cpuminer.files,,
avirasecureserver,com,,values/extreme-soonest.php,,
directxex,com,,uploads/965775728.crypt.exe,,
directxex,com,,uploads/813441197.ms.exe,dl=1813441197.ms.exe,
directxex,com,,uploads/565785830.been.exe,,
directxex,com,,uploads/482862824.kmahard.exe,,
directxex,com,,uploads/472678730.2113899106.puttymanager.exe,,
directxex,com,,uploads/39164388.ms.exe,dl=1,
directxex,com,,uploads/341043287.crypted.exe,,
directxex,com,,uploads/2056064399.ms.exe,,
directxex,com,,uploads/1870347935.http.exe,,
directxex,com,,uploads/1835173533.ms.exe,dl=11835173533.ms.exe,
offerent,com,,tmp/5lro65.php,receipt_print=825_417011330,
slayerlife,com,,nbh/sends/ftc.php,,
directxex,com,,uploads/1803412028.mintt.exe,,
directxex,com,,uploads/1491944748.whaat.exe,,
directxex,com,,uploads/1599687595.ms.exe,dl=11599687595.ms.exe,
mycleanpc,tk,,download/,,
bbs.bjchun,com,,report.htm,,
customsboysint,com,,1/25/human-head-wireframe,,
directxex,com,,uploads/1271351103.ms.exe,dl=1,
directxex,com,,uploads/1271351103.ms.exe,,
daspar,net,,components/.kkcpgr.php,action=ss00_323,
totszentmarton,hu,,riding.htm,,
freefblikes.phpnet,us,,,,
directxex,com,,uploads/1005443056.cryptedserver.exe,,
yougube,com,,,,
youtuhe,com,,,,
youtibe,com,,,,
tdms.saglik,gov.tr,,kdv_guncel_tevkifat_oranlari.htm,,
sunny99.cholerik,cz,,plugins/3yvprqfj.php,,
rooversadvocatuur,nl,,rel.php,,
malest,com,,,,
dl01.faddmr,com,,n/e176d94e-d9b7-11e2-a752-00259033c1da/setup.exe,tid=102dccc4aa5799d2efb748b9dd0e4ffake,
dl01.faddmr,com,,n/3.0.15.1/9041377/setup.exe,tid=102dccc4aa5799d2efb748b9dd0e4f,
rebeccacella,com,,wp-content/plugins/subscribe/,,
lowes-pianos-and-organs,com,,images/d521c2a038/,zaxbu4wah12xtnhf0ytnwgtnwijm0atmzidfvgzmwemmjfjm1q2lzv2zh1wav02bj5,
lcbcad.co,uk,,4541b36fdd41b9610c2e870b21fc5022/q.php,,
v.inigsplan,ru,,lich/inc/v7675/,/,
mailboto,com,,landing/themes/bluemarine/corso/index.htm,,
guyscards,com,,adobe/,,
guyscards,com,,adobe/update_flash_player.exe,,
teameda.comcastbiz,net,,expanding/index.html,,
wc0x83ghk.homepage.t-online,de,,communed/ameba.js,,
instruminahui,edu.ec,,201403/editor.html,,
server1.extra-web,cz,,dbm.exe,,
nutnet,ir,,dl/nnnew.txt,,
eliehabib,com,,topic/regard_alternate_sheet.php,,
kipasdenim,com,,images/wp-sts.php,,
praxisww,com,,wp-stc.php,,
romvarimarton,hu,,wp-stc.php,,
saemark,is,,wp-content/plugins/wp-sts.php,,
vitamasaz,pl,,wp-stc.php,,
coloritpak,by,,wp-stc.php,,
fasadobygg,com,,wp-stc.php,,
hausnet,ru,,wp-stc.php,,
joomlalivechat,com,,wp-stc.php,,
litra,com.mk,,wp-sts.php,,
over50datingservices,com,,wp-stc.php,,
wyroki,eu,,wp-stc.php,,
manoske,com,,main.php,label=tjaxqkiv0+wlz0mjn5sxypuhwavdqdqe4pwfdxjpls0=,
mmile,com,,images/rhcs05.exe,,
highflyingfood,com,,images/vids/adobe_flash.exe,,
highflyingfood,com,,images/vids/,,
highflyingfood,com,,images/vids/qp.php,out,
highflyingfood,com,,images/vids/archives/porno1.zip,,
highflyingfood,com,,images/vids/archives/porno2.zip,,
highflyingfood,com,,images/vids/archives/porno3.zip,,
highflyingfood,com,,images/vids/archives/porno4.zip,,
highflyingfood,com,,images/vids/archives/porno5.zip,,
highflyingfood,com,,images/vids/archives/porno6.zip,,
windspotter,net,,,r=site/widget,
luggage-tv,com,,adobe/update_flash_player.exe,,
luggagepreview,com,,adobe/update_flash_player.exe,,
luggagecast,com,,adobe/update_flash_player.exe,,
kapcotool,com,,adobe/update_flash_player.exe,,
kapcotool,com,,topic/able_disturb_planning.php,,
luggage-tv,com,,/topic/able_disturb_planning.php,,
luggagepreview,com,,/topic/able_disturb_planning.php,,
by98,com,,reincarnate/index.html,,
ad.getfond,info,,,,
dcanscapital.co,uk,,panhandled/scientists.js,,
japanesevehicles,us,,vector/internees.js,,
teameda,net,,tipsier/stuttgart.js,,
luggagecast,com,,topic/able_disturb_planning.php,,
mmile,com,,images/bl.exe,,
moviedownloader,net,,d/graboidmoviedownloader-3.54.exe,,
bluecutsystem,com,,load3.exe,,
tube8vidsvrx.ddns,name,,2013/girl-fucked-by-dog.avi.exe,,
tube8vidsvtp.dnset,com,,2013/girl-fucked-by-dog.avi.exe,,
tube8vidswsy.dnset,com,,2013/girl-fucked-by-dog.avi.exe,,
tube8vidswtb.ddns,name,,2013/girl-fucked-by-dog.avi.exe,,
tube8vidswys.ddns,name,,2013/girl-fucked-by-dog.avi.exe,,
tube8vidsxlo.ddns,name,,2013/girl-fucked-by-dog.avi.exe,,
tube8vidsxmx.dnset,com,,2013/girl-fucked-by-dog.avi.exe,,
tube8vidsxpg.ddns,name,,2013/girl-fucked-by-dog.avi.exe,,
tube8vidsxpp.dnset,com,,2013/girl-fucked-by-dog.avi.exe,,
tube8vidsxwu.ddns,name,,2013/girl-fucked-by-dog.avi.exe,,
tube8vidsycs.dnset,com,,2013/girl-fucked-by-dog.avi.exe,,
tube8vidsyip.ddns,name,,2013/girl-fucked-by-dog.avi.exe,,
tube8vidsymz.dnset,com,,2013/girl-fucked-by-dog.avi.exe,,
tube8vidsyre.dnset,com,,2013/girl-fucked-by-dog.avi.exe,,
tube8vidsyyf.dnset,com,,2013/girl-fucked-by-dog.avi.exe,,
tube8vidszmi.ddns,name,,2013/girl-fucked-by-dog.avi.exe,,
tube8vidsznj.ddns,name,,2013/girl-fucked-by-dog.avi.exe,,
tube8vidsznx.ddns,name,,2013/girl-fucked-by-dog.avi.exe,,
tube8vidscqs.ddns,name,,2013/girl-fucked-by-dog.avi.exe,,
tube8vidscut.ddns,name,,2013/girl-fucked-by-dog.avi.exe,,
tube8vidsdob.dnset,com,,2013/girl-fucked-by-dog.avi.exe,,
tube8vidsdst.ddns,name,,2013/girl-fucked-by-dog.avi.exe,,
tube8vidsfgd.ddns,name,,2013/girl-fucked-by-dog.avi.exe,,
tube8vidshhr.ddns,name,,2013/girl-fucked-by-dog.avi.exe,,
tube8vidshkk.ddns,name,,2013/girl-fucked-by-dog.avi.exe,,
tube8vidshrw.dnset,com,,2013/girl-fucked-by-dog.avi.exe,,
tube8vidsiet.ddns,name,,2013/girl-fucked-by-dog.avi.exe,,
tube8vidsiww.ddns,name,,2013/girl-fucked-by-dog.avi.exe,,
tube8vidsjac.dnset,com,,2013/girl-fucked-by-dog.avi.exe,,
tube8vidsjan.ddns,name,,2013/girl-fucked-by-dog.avi.exe,,
tube8vidsjhn.ddns,name,,2013/girl-fucked-by-dog.avi.exe,,
tube8vidsjtq.ddns,name,,2013/girl-fucked-by-dog.avi.exe,,
tube8vidslmf.dnset,com,,2013/girl-fucked-by-dog.avi.exe,,
tube8vidslni.dnset,com,,2013/girl-fucked-by-dog.avi.exe,,
tube8vidslqk.ddns,name,,2013/girl-fucked-by-dog.avi.exe,,
tube8vidslrz.ddns,name,,2013/girl-fucked-by-dog.avi.exe,,
tube8vidsnlq.dnset,com,,2013/girl-fucked-by-dog.avi.exe,,
tube8vidsnrt.ddns,name,,2013/girl-fucked-by-dog.avi.exe,,
tube8vidsnvd.ddns,name,,2013/girl-fucked-by-dog.avi.exe,,
tube8vidsnyp.dnset,com,,2013/girl-fucked-by-dog.avi.exe,,
tube8vidsolh.ddns,name,,2013/girl-fucked-by-dog.avi.exe,,
tube8vidsotz.dnset,com,,2013/girl-fucked-by-dog.avi.exe,,
